"pub_id","doi","pub_year","replicated_study","replication_source","journal_title","replicated_binary","subfield","experiment","school_prestige_1st","school_prestige_senior","media_attention"
1029770646,"10.1037/0022-3514.92.4.585",2007,"1","hku","Journal of Personality and Social Psychology","yes","social","no",1,1,1
1000794612,"10.1016/0030-5073(76)90005-2",1976,"1","hku","Organizational Behavior and Human Performance","no","organizational","yes",1,1,1
1051276801,"10.1006/obhd.1996.0013",1996,"1","hku","Organizational Behavior and Human Decision Processes","no","organizational","yes",1,1,0
1067636230,"10.1521/soco.1991.9.1.67",1991,"1","hku","Social Cognition","no","social","yes",NA,NA,0
1016407616,"10.1111/j.2044-8295.1993.tb02461.x",1993,"1, 2","hku","British Journal of Psychology","no","social","yes",3,3,2
1032472951,"10.1037/0022-3514.83.3.556",2002,"3","Curate Science (New)","Journal of Personality and Social Psychology","no","personality","yes",NA,NA,0
1027840768,"10.1016/j.jesp.2015.08.006",2016,"1","Curate Science (New)","Journal of Experimental Social Psychology","no","social","yes",3,3,0
1005929158,"10.1073/pnas.251541498",2001,"0","Curate Science (New)","Proceedings of the National Academy of Sciences of the United States of America","yes","social","yes",2,2,7
1026648239,"10.1177/1948550611419266",2012,"2","Curate Science (New)","Social Psychological and Personality Science","no","social","yes",6,6,1
1010928856,"10.1111/j.1475-6811.1999.tb00215.x",1999,"2","Curate Science (New)","Personal Relationships","no","social","no",1,6,0
1021142486,"10.1177/0146167208317771",2008,"3","Curate Science (New)","Personality and Social Psychology Bulletin","no","social","yes",6,1,14
1007308850,"10.1016/j.jesp.2011.05.017",2011,"1b","Curate Science (New)","Journal of Experimental Social Psychology","no","social","yes",6,6,0
1047611743,"10.1038/nature01930",2003,"0","Curate Science (New)","Nature","no","cognitive","yes",1,1,1
1048473158,"10.1111/1467-9280.00111",1999,"1","Curate Science (New)","Psychological Science","no","social","yes",1,1,4
1024494517,"10.1111/j.1467-9280.1996.tb00346.x",1996,"1","Curate Science (New)","Psychological Science","no","social","yes",1,1,1
1053717307,"10.1037/h0028843",1970,"0","Curate Science (New)","Journal of Experimental Psychology","yes","cognitive","yes",NA,NA,0
1053093084,"10.3758/bf03203267",1974,"0","Curate Science (New)","Attention, Perception, & Psychophysics","yes","cognitive","yes",NA,NA,0
1041469282,"10.1037/0278-7393.10.4.680",1984,"1, 2, 3, 4, 5, 6","Curate Science (New)","Journal of Experimental Psychology Learning Memory and Cognition","yes","cognitive","yes",NA,NA,0
1047302425,"10.1037/0278-7393.15.3.371",1989,"1","Curate Science (New)","Journal of Experimental Psychology Learning Memory and Cognition","yes","cognitive","yes",2,2,0
1044514146,"10.1037/0278-7393.21.4.803",1995,"1, 2","Curate Science (New)","Journal of Experimental Psychology Learning Memory and Cognition","yes","cognitive","yes",1,1,0
1006872600,"10.1037/h0045106",1962,"0","Curate Science (New)","Journal of Experimental Psychology","yes","cognitive","yes",NA,NA,1
1021174187,"10.1037/h0031564",1971,"1","Curate Science (New)","Journal of Experimental Psychology","yes","cognitive","yes",NA,NA,1
1041345801,"10.1177/0956797612465878",2013,"2, 4","Curate Science (New)","Psychological Science","no","social","yes",6,6,1
1038886045,"10.1111/j.1467-9280.2008.02061.x",2008,"0","Curate Science (New)","Psychological Science","yes","social","yes",2,2,2
1034073757,"10.1177/0956797611410985",2011,"1, 2","Curate Science (New)","Psychological Science","no","social","partially yes and partially no",2,2,0
1031131644,"10.1111/j.1467-9280.2006.01811.x",2006,"0","Curate Science (New)","Psychological Science","no","social","yes",2,6,0
1063741245,"10.1177/0146167299025002007",1999,"1, 2","Curate Science (New)","Personality and Social Psychology Bulletin","no","social","yes",1,1,31
1052239211,"10.1073/pnas.1118373109",2012,"7","Curate Science (New)","Proceedings of the National Academy of Sciences of the United States of America","no","social","yes",1,1,82
1026043962,"10.1016/j.cognition.2008.04.002",2008,"1","Curate Science (New)","Cognition","no","cognitive","yes",1,1,0
1007600491,"10.1016/j.cognition.2010.07.005",2010,"1","Curate Science (New)","Cognition","yes","cognitive","yes",1,1,0
1110590824,"10.1177/002224377000700306",1970,"1","Curate Science (New)","Journal of Marketing Research","no","organizational","yes",6,6,0
1031003835,"10.1073/pnas.1103343108",2011,"2","Curate Science (New)","Proceedings of the National Academy of Sciences of the United States of America","no","social","yes",1,1,17
1048760704,"10.1016/j.jesp.2009.05.003",2009,"2","Curate Science (New)","Journal of Experimental Social Psychology","no","social","yes",4,NA,0
1021101659,"10.1111/j.1467-9280.2007.01983.x",2007,"2","Curate Science (New)","Psychological Science","no","social","yes",1,1,18
1034956816,"10.1016/j.evolhumbehav.2012.02.004",2012,"3","Curate Science (New)","Evolution and Human Behavior","no","social","yes",3,3,0
1026929981,"10.1016/s0022-1031(03)00057-x",2003,"0","Curate Science (New)","Journal of Experimental Social Psychology","no","social","yes",1,1,0
1028261012,"10.1177/0956797614563108",2015,"1a, 1b","Curate Science (New)","Psychological Science","no","social","yes",1,1,11
1043555948,"10.1037/0096-3445.136.4.569",2007,"1","Curate Science (New)","Journal of Experimental Psychology General","no","cognitive","yes",1,1,9
1050650702,"10.1037/a0031337",2013,"1","Curate Science (New)","Journal of Experimental Psychology Learning Memory and Cognition","yes","cognitive","yes",NA,1,0
1029771700,"10.1073/pnas.1221454110",2013,"3","Curate Science (New)","Proceedings of the National Academy of Sciences of the United States of America","yes","social","yes",1,1,18
1043551099,"10.1126/science.1132491",2006,"2, 8","Curate Science (New)","Science","no","social","yes",2,1,10
1010707917,"10.1037/0022-3514.45.3.513",1983,"1, 2","Curate Science (New)","Journal of Personality and Social Psychology","no","social","yes",NA,NA,20
