paper_id,target_filename,corpus,action,year,journal,authors,title,doi,doi_url,oa_url,ezproxy_url,best_url,libkey_url,libkey_direct,in_holdings,retracted
p0158,p0158.pdf,both,PULL (institutional),2008.0,Journal of Personality and Social Psychology,"Dolores Albarracín, Ian M. Handley, Kenji Noguchi et al.",Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,10.1037/a0012833,https://doi.org/10.1037/a0012833,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0012833,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0012833,https://libkey.io/libraries/1781/10.1037/a0012833,https://libkey.io/libraries/1781/articles/41318112/full-text-file,True,False
p0159,p0159.pdf,yang_uzzi,PULL (institutional),2009.0,Journal of Personality and Social Psychology,"Kurt Gray, Daniel M. Wegner",Moral typecasting: Divergent perceptions of moral agents and moral patients.,10.1037/a0013748,https://doi.org/10.1037/a0013748,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0013748,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0013748,https://libkey.io/libraries/1781/10.1037/a0013748,https://libkey.io/libraries/1781/articles/41318228/full-text-file,True,False
p0160,p0160.pdf,yang_uzzi,PULL (institutional),2009.0,Journal of Personality and Social Psychology,"Jesse Graham, Jonathan Haidt, Brian A. Nosek",Liberals and conservatives rely on different sets of moral foundations.,10.1037/a0015141,https://doi.org/10.1037/a0015141,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0015141,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0015141,https://libkey.io/libraries/1781/10.1037/a0015141,https://libkey.io/libraries/1781/articles/41318259/full-text-file,True,False
p0161,p0161.pdf,both,"AUTO (open-access, skip)",2009.0,Emotion,"Yoel Inbar, David A. Pizarro, Joshua Knobe et al.",Disgust sensitivity predicts intuitive disapproval of gays.,10.1037/a0015960,https://doi.org/10.1037/a0015960,https://philpapers.org/archive/KNODSP-2.pdf,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0015960,https://philpapers.org/archive/KNODSP-2.pdf,https://libkey.io/libraries/1781/10.1037/a0015960,,,
p0162,p0162.pdf,forrt,PULL (institutional),2009.0,Journal of Experimental Psychology General,"Lisa K. Libby, Eric M. Shaeffer, Richard P. Eibach",Seeing meaning in action: A bidirectional link between visual perspective and action identification level.,10.1037/a0016795,https://doi.org/10.1037/a0016795,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016795,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016795,https://libkey.io/libraries/1781/10.1037/a0016795,https://libkey.io/libraries/1781/articles/56526948/full-text-file,True,False
p0163,p0163.pdf,yang_uzzi,PULL (institutional),2009.0,Journal of Experimental Psychology General,"Timothy F. Brady, Talia Konkle, George A. Alvarez",Compression in visual working memory: Using statistical regularities to form more efficient memory representations.,10.1037/a0016797,https://doi.org/10.1037/a0016797,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016797,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016797,https://libkey.io/libraries/1781/10.1037/a0016797,https://libkey.io/libraries/1781/articles/56526947/full-text-file,True,False
p0164,p0164.pdf,yang_uzzi,PULL (institutional),2010.0,Journal of Personality and Social Psychology,"Tobias Greitemeyer, S Osswald",Effects of prosocial video games on prosocial behavior.,10.1037/a0016997,https://doi.org/10.1037/a0016997,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016997,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0016997,https://libkey.io/libraries/1781/10.1037/a0016997,https://libkey.io/libraries/1781/articles/41318393/full-text-file,True,False
p0165,p0165.pdf,forrt,PULL (institutional),2010.0,Journal of Educational Psychology,"Greg Roberts, Sarojani S. Mohammed, Sharon Vaughn",Reading achievement across three language groups: Growth estimates for overall reading and reading subskills obtained with the Early Childhood Longitudinal Survey.,10.1037/a0018983,https://doi.org/10.1037/a0018983,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0018983,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0018983,https://libkey.io/libraries/1781/10.1037/a0018983,https://libkey.io/libraries/1781/articles/41263257/full-text-file,True,False
p0166,p0166.pdf,forrt,PULL (institutional),2010.0,Emotion,"Frederick S. Barrett, Kevin J. Grimm, Richard W. Robins et al.","Music-evoked nostalgia: Affect, memory, and personality.",10.1037/a0019006,https://doi.org/10.1037/a0019006,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019006,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019006,https://libkey.io/libraries/1781/10.1037/a0019006,https://libkey.io/libraries/1781/articles/41219885/full-text-file,True,False
p0167,p0167.pdf,forrt,PULL (institutional),2010.0,Journal of Experimental Psychology Learning Memory and Cognition,"Amishi P. Jha, Anastasia Kiyonaga",Working-memory-triggered dynamic adjustments in cognitive control.,10.1037/a0019337,https://doi.org/10.1037/a0019337,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019337,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019337,https://libkey.io/libraries/1781/10.1037/a0019337,https://libkey.io/libraries/1781/articles/41289467/full-text-file,True,False
p0168,p0168.pdf,forrt,PULL (institutional),2010.0,Journal of Experimental Psychology General,"Andrew J. Elliot, Daniela Niesta Kayser, Tobias Greitemeyer et al.","Red, rank, and romance in women viewing men.",10.1037/a0019689,https://doi.org/10.1037/a0019689,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019689,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0019689,https://libkey.io/libraries/1781/10.1037/a0019689,https://libkey.io/libraries/1781/articles/56526982/full-text-file,True,False
p0169,p0169.pdf,both,PULL (institutional),2010.0,Journal of Personality and Social Psychology,"Paul K. Piff, Michael W. Kraus, Stéphane Côté et al.","Having less, giving more: The influence of social class on prosocial behavior.",10.1037/a0020092,https://doi.org/10.1037/a0020092,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0020092,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0020092,https://libkey.io/libraries/1781/10.1037/a0020092,https://libkey.io/libraries/1781/articles/41318484/full-text-file,True,False
p0170,p0170.pdf,forrt,PULL (institutional),2010.0,Journal of Experimental Psychology General,Eugene M. Caruso,When the future feels worse than the past: A temporal inconsistency in moral judgment.,10.1037/a0020757,https://doi.org/10.1037/a0020757,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0020757,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0020757,https://libkey.io/libraries/1781/10.1037/a0020757,https://libkey.io/libraries/1781/articles/56526993/full-text-file,True,False
p0171,p0171.pdf,both,PULL (institutional),2011.0,Journal of Personality and Social Psychology,Daryl J. Bem,Feeling the future: Experimental evidence for anomalous retroactive influences on cognition and affect.,10.1037/a0021524,https://doi.org/10.1037/a0021524,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0021524,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0021524,https://libkey.io/libraries/1781/10.1037/a0021524,https://libkey.io/libraries/1781/articles/41318612/full-text-file,True,False
p0172,p0172.pdf,yang_uzzi,PULL (institutional),2011.0,Emotion,"Megan Willis, Romina Palermo, Darren Burke",Judging approachability on the face of it: The influence of face and body expressions on the perception of approachability.,10.1037/a0022571,https://doi.org/10.1037/a0022571,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0022571,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0022571,https://libkey.io/libraries/1781/10.1037/a0022571,https://libkey.io/libraries/1781/articles/41220045/full-text-file,True,False
p0173,p0173.pdf,both,PULL (institutional),2011.0,Emotion,"John A. Bargh, Idit Shalev",The substitutability of physical and social warmth in daily life.,10.1037/a0023527,https://doi.org/10.1037/a0023527,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0023527,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0023527,https://libkey.io/libraries/1781/10.1037/a0023527,https://libkey.io/libraries/1781/articles/41220008/full-text-file,True,False
p0174,p0174.pdf,yang_uzzi,PULL (institutional),2011.0,Journal of Experimental Psychology General,"James E. B. Wilkie, Galen V. Bodenhausen",Are numbers gendered?,10.1037/a0024875,https://doi.org/10.1037/a0024875,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0024875,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0024875,https://libkey.io/libraries/1781/10.1037/a0024875,https://libkey.io/libraries/1781/articles/56527057/full-text-file,True,False
p0175,p0175.pdf,forrt,PULL (institutional),2011.0,Journal of Experimental Psychology General,"Malia F. Mason, Moshe Bar",The effect of mental progression on mood.,10.1037/a0025035,https://doi.org/10.1037/a0025035,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025035,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025035,https://libkey.io/libraries/1781/10.1037/a0025035,https://libkey.io/libraries/1781/articles/56527066/full-text-file,True,False
p0176,p0176.pdf,both,PULL (institutional),2011.0,Journal of Personality and Social Psychology,"Emily Zitek, Larissa Z. Tiedens","The fluency of social hierarchy: The ease with which hierarchical relationships are seen, remembered, learned, and liked.",10.1037/a0025345,https://doi.org/10.1037/a0025345,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025345,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025345,https://libkey.io/libraries/1781/10.1037/a0025345,https://libkey.io/libraries/1781/articles/41318717/full-text-file,True,False
p0177,p0177.pdf,forrt,PULL (institutional),2011.0,Journal of Personality and Social Psychology,"Kurt Gray, Joshua Knobe, Mark Sheskin et al.",More than a body: Mind perception and the nature of objectification.,10.1037/a0025883,https://doi.org/10.1037/a0025883,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025883,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0025883,https://libkey.io/libraries/1781/10.1037/a0025883,https://libkey.io/libraries/1781/articles/41318741/full-text-file,True,False
p0178,p0178.pdf,forrt,PULL (institutional),2012.0,Journal of Personality and Social Psychology,"Travis J. Carter, Thomas Gilovich","I am what I do, not what I have: The differential centrality of experiential and material purchases to the self.",10.1037/a0027407,https://doi.org/10.1037/a0027407,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0027407,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0027407,https://libkey.io/libraries/1781/10.1037/a0027407,https://libkey.io/libraries/1781/articles/41318787/full-text-file,True,False
p0179,p0179.pdf,both,PULL (institutional),2012.0,Journal of Experimental Psychology General,"Michael L. Slepian, E. J. Masicampo, Negin R. Toosi et al.",The physical burdens of secrecy.,10.1037/a0027598,https://doi.org/10.1037/a0027598,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0027598,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0027598,https://libkey.io/libraries/1781/10.1037/a0027598,https://libkey.io/libraries/1781/articles/56527121/full-text-file,True,False
p0180,p0180.pdf,forrt,PULL (institutional),2012.0,Journal of Experimental Psychology Learning Memory and Cognition,"Daniel Read, Marc Scholten",Tradeoffs between sequences: Weighing accumulated outcomes against outcome-adjusted delays.,10.1037/a0028216,https://doi.org/10.1037/a0028216,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028216,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028216,https://libkey.io/libraries/1781/10.1037/a0028216,https://libkey.io/libraries/1781/articles/41289760/full-text-file,True,False
p0181,p0181.pdf,yang_uzzi,PULL (institutional),2012.0,Journal of Experimental Psychology Learning Memory and Cognition,"Ruthann C. Thomas, Larry L. Jacoby",Diminishing adult egocentrism when estimating what others know.,10.1037/a0028883,https://doi.org/10.1037/a0028883,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028883,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028883,https://libkey.io/libraries/1781/10.1037/a0028883,https://libkey.io/libraries/1781/articles/41289809/full-text-file,True,False
p0182,p0182.pdf,forrt,PULL (institutional),2013.0,Health Psychology,"Jerel P. Calzo, Heather L. Corliss, Emily Blood et al.",Development of muscularity and weight concerns in heterosexual and sexual minority males.,10.1037/a0028964,https://doi.org/10.1037/a0028964,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028964,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0028964,https://libkey.io/libraries/1781/10.1037/a0028964,https://libkey.io/libraries/1781/articles/41275312/full-text-file,True,False
p0183,p0183.pdf,both,PULL (institutional),2012.0,Journal of Experimental Psychology General,"Eugene M. Caruso, Kathleen D. Vohs, Brittani Baxter et al.",Mere exposure to money increases endorsement of free-market systems and social inequality.,10.1037/a0029288,https://doi.org/10.1037/a0029288,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0029288,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/a0029288,https://libkey.io/libraries/1781/10.1037/a0029288,https://libkey.io/libraries/1781/articles/56527172/full-text-file,True,False
