doi,ref_spread,nearest_cited_prior
10.1126/science.1224313,0.615,0.33666193
10.1126/science.1238041,0.81182843,0.43512303
10.1126/science.1239918,0.72711366,0.29142028
10.1126/science.1250830,0.72303045,0.59566975
10.1126/science.1253932,0.63401103,0.3204835
10.1126/science.283.5398.77,0.7512132,0.3851666
10.1126/science.7455683,0.6543834,0.26909
10.1145/3105726.3106182,0.681405,0.32446492
10.1145/3290605.3300469,0.7598969,0.35261047
10.1152/japplphysiol.91324.2008,0.6701456,0.23741138
10.1162/003355397555208,0.72491115,0.23700786
10.1162/jocn_a_00709,0.6546019,0.39009714
10.1162/qjec.122.3.1067,0.73863995,0.28750372
10.1163/156853706776931222,0.5983577,0.31829804
10.1163/156853706776931385,0.6739387,0.2111218
10.1177/0001839219840022,0.7683102,0.45837224
10.1177/0003122414558919,0.74909943,0.26345074
10.1177/0010414013516928,0.5910024,0.27053994
10.1177/0010414017740603,0.6663893,0.3172227
10.1177/0022243718813544,0.73487985,0.4070037
10.1177/0022243720904758,0.67812055,0.35847747
10.1177/0022243720932532,0.72731525,0.23948932
10.1177/0093650215609676,0.7298793,0.39917636
10.1177/0146167202286008,0.6001708,0.40719938
10.1177/0146167207309195,0.64112973,0.26516902
10.1177/0146167210386238,0.73079205,0.30500162
10.1177/0146167212475225,0.6940923,0.14725381
10.1177/0146167214524992,0.66863954,0.30495173
10.1177/0146167215580776,0.6765073,0.32718623
10.1177/0146167215610520,0.77698046,0.26707482
10.1177/01461672952111004,0.666473,0.4419135
10.1177/0261927x01020004004,0.7517453,0.42561364
10.1177/0267658310386439,0.6575773,0.298079
10.1177/0956797609358096,0.69598556,0.40768325
10.1177/0956797610372631,0.70592743,0.25736892
10.1177/0956797610395393,0.69662374,0.39705718
10.1177/0956797610397956,0.6448171,0.32612175
10.1177/0956797611398497,0.6485252,0.2531891
10.1177/0956797611402514,0.6522386,0.359612
10.1177/0956797611413935,0.7024459,0.22106135
10.1177/0956797611414726,0.731343,0.22507477
10.1177/0956797611418350,0.6349603,0.27339453
10.1177/0956797611428079,0.69262844,0.3004563
10.1177/0956797611434537,0.7192191,0.3252548
10.1177/0956797611434540,0.7638457,0.37008595
10.1177/0956797611434748,0.7277808,0.24333453
10.1177/0956797612449177,0.730703,0.299398
10.1177/0956797613494853,0.5190434,0.33694488
10.1177/0956797613502732,0.6285831,0.30093366
10.1177/0956797613508412,0.66904515,0.38468587
10.1177/0956797614534693,0.6978997,0.2975827
10.1177/0956797614553009,0.72156656,0.4215727
10.1177/0956797614558718,0.67040163,0.32599175
10.1177/0956797614563108,0.73540074,0.2582196
10.1177/0956797614563958,0.73397845,0.4132129
10.1177/0956797615569889,0.6387277,0.29099774
10.1177/0956797615573516,0.69966143,0.31291974
10.1177/0956797615581491,0.64429724,0.25539798
10.1177/0956797615588195,0.722485,0.46052802
10.1177/0956797615598739,0.75846606,0.31740522
10.1177/0956797615608267,0.7064518,0.33923084
10.1177/0956797615612202,0.5981769,0.29363823
10.1177/0956797615617779,0.558432,0.3490727
10.1177/0956797615624492,0.7331316,0.36661392
10.1177/0956797615625640,0.75442624,0.33972812
10.1177/0956797616639727,0.65185875,0.3448367
10.1177/0956797616640705,0.7339862,0.46688628
10.1177/0956797616650875,0.7572306,0.5150459
10.1177/0956797616651973,0.680281,0.40838712
10.1177/0956797616662271,0.7206513,0.4541906
10.1177/0956797616667459,0.66744965,0.2152291
10.1177/0956797616669947,0.677855,0.37253445
10.1177/0956797616674999,0.72039264,0.3055265
10.1177/0956797616685771,0.73235756,0.32237744
10.1177/0956797617705399,0.661212,0.3638162
10.1177/0956797617728270,0.7097327,0.39309776
10.1177/0956797618756862,0.72609335,0.4014501
10.1177/0956797618760784,0.6894608,0.3462203
10.1177/0956797618779061,0.6980505,0.35494184
10.1177/0956797618780643,0.72618043,0.28675508
10.1177/0956797618788882,0.70442504,0.29020154
10.1177/0956797618805750,0.73204166,0.41423953
10.1177/0956797618806296,0.69297767,0.41266358
10.1177/0956797619854706,0.7086429,0.4162377
10.1177/0956797619856844,0.72837365,0.410581
10.1177/0956797619879441,0.6085798,0.26665658
10.1177/0956797620927967,0.7484053,0.30036217
10.1177/09567976221082637,0.6937974,0.30989033
10.1177/1073191116686685,0.7046899,0.28920448
10.1177/1077559513483002,0.6436038,0.24213362
10.1177/1948550609360261,0.72827524,0.39523184
10.1177/1948550611410890,0.6932556,0.5651649
10.1177/1948550611432938,0.71398515,0.24951965
10.1177/1948550612457688,0.6676213,0.36479092
10.1177/1948550614555029,0.6400506,0.29847836
10.1177/1948550617720269,0.6777446,0.30415726
10.1177/1948550617751583,0.7417621,0.39487445
10.1177/1948550619843931,0.6600513,0.38394642
10.1177/2167702614545216,0.606584,0.19503003
10.1207/s15324834basp2504_5,0.67349476,0.30820662
10.1207/s15327795jra0303_2,0.6010799,0.27050954
10.1249/mss.0000000000000818,0.68246746,0.37665814
10.1257/aer.101.2.470,0.79637855,0.26610112
10.1257/aer.101.2.526,0.6744155,0.43809074
10.1257/aer.101.2.819,0.70374846,0.39541876
10.1257/aer.101.2.927,0.69175225,0.29254723
10.1257/aer.101.4.1211,0.714719,0.36238807
10.1257/aer.101.6.2562,0.7186141,0.3373958
10.1257/aer.101.7.3109,0.7006529,0.3336835
10.1257/aer.102.1.337,0.57486814,0.24179065
10.1257/aer.102.2.720,0.6233408,0.20250869
10.1257/aer.102.2.834,0.7459622,0.3845408
10.1257/aer.102.2.865,0.74880886,0.2613126
10.1257/aer.102.5.2018,0.79859525,0.47403675
10.1257/aer.102.7.3317,0.67091745,0.2676018
10.1257/aer.103.4.1325,0.76296055,0.17821324
10.1257/aer.104.11.3434,0.7781458,0.39333338
10.1257/aer.104.6.1735,0.66045254,0.31489748
10.1257/aer.20130267,0.7362175,0.22504085
10.1257/aer.20170029,0.7526103,0.43285018
10.1257/app.20150517,0.7753771,0.30874866
10.1287/mnsc.2019.3362,0.751247,0.43658817
10.1287/orsc.1080.0377,0.66163725,0.36818743
10.1371/journal.pone.0071475,0.753,0.33427012
10.1371/journal.pone.0154854,0.7592702,0.2847756
10.1509/jmkr.45.6.633,0.754295,0.3657446
10.1509/jmkr.46.1.37,0.6370588,0.43384612
10.1509/jmkr.46.2.247,0.6808878,0.31099242
10.1509/jmkr.47.2.348,0.66497475,0.3733232
10.1509/jmkr.48.2.403,0.6599376,0.23803687
10.1509/jmr.12.0430,0.6722249,0.3482579
10.1509/jmr.13.0023,0.75704885,0.39299607
10.1509/jmr.13.0451,0.74971443,0.34265804
10.1509/jmr.14.0130,0.7455521,0.38368583
10.1509/jppm.16.157,0.8069601,0.44064528
10.1515/ling.2011.016,0.72733873,0.35443854
