doi,ref_spread,nearest_cited_prior
10.1521/soco.2018.36.1.4,0.81992954,0.31467688
10.1523/jneurosci.3427-13.2014,0.6460178,0.24056518
10.2196/jmir.2551,0.6965837,0.34362102
10.2501/jar-40-1-2-29-34,0.6441896,0.40742928
10.3102/0002831208323278,0.6224743,0.26480758
10.3102/0002831209350493,0.6830671,0.21176279
10.3102/0002831210374874,0.72938865,0.36474484
10.3102/0002831211419490,0.66523945,0.24266148
10.3389/fped.2019.00206,0.76881397,0.2009952
10.3389/fpsyg.2014.01276,0.8002465,0.28713113
10.3389/fpsyg.2024.1335892,0.6373652,0.63563895
10.3758/s13414-020-02150-8,0.6689401,0.32908022
10.4324/9781032633275-7,0.5919694,0.3084799
10.5465/amj.2016.0086,0.6959001,0.34540534
10.5840/jphil20091061128,0.561053,0.22481441
